eps,size,balance,noise,cost,timespan,base_cost,base_timespan,better
3.0,80,0.1,0.45,559.91,42.176,477.82,36.098,False
3.0,80,0.1,0.6,662.14,49.347,494.5,36.959,False
3.0,80,0.5,0.0,299.69,21.788,390.0,29.0,True
3.0,80,0.5,0.15,337.78,25.045,403.15,29.852,True
3.0,80,0.5,0.3,411.11,29.969,418.04,30.755,True
3.0,80,0.5,0.45,510.27,37.62,431.3,31.664,False
3.0,80,0.5,0.6,584.15,42.456,448.5,32.48,False
3.0,80,0.9,0.0,274.01,19.193,350.0,25.0,True
3.0,80,0.9,0.15,296.82,21.229,361.27,25.839,True
3.0,80,0.9,0.3,367.37,25.947,375.74,26.638,True
3.0,80,0.9,0.45,427.98,29.972,388.9,27.285,False
3.0,80,0.9,0.6,505.04,35.054,402.5,28.0,False
3.0,100,0.1,0.0,384.63,29.2,490.0,36.0,True
3.0,100,0.1,0.15,435.55,31.908,506.71,37.213,True
3.0,100,0.1,0.3,499.74,35.765,526.89,38.288,True
3.0,100,0.1,0.45,644.36,46.886,545.58,39.439,False
3.0,100,0.1,0.6,772.32,54.202,563.5,40.32,False
3.0,100,0.5,0.0,357.28,24.788,450.0,32.0,True
3.0,100,0.5,0.15,395.22,27.841,463.84,33.02,True
3.0,100,0.5,0.3,482.29,33.741,482.53,33.959,True
3.0,100,0.5,0.45,594.25,41.799,497.59,34.954,False
3.0,100,0.5,0.6,668.29,46.944,517.5,35.84,False
3.0,100,0.9,0.0,325.96,22.262,410.0,28.0,True
3.0,100,0.9,0.15,355.29,24.11,422.54,29.01,True
3.0,100,0.9,0.3,436.57,29.77,439.43,29.925,True
3.0,100,0.9,0.45,498.14,33.495,455.07,30.667,False
3.0,100,0.9,0.6,578.5,38.272,471.5,31.361,False
