eps,size,balance,noise,cost,timespan,better,base_cost,base_timespan
3.0,20,0.1,0.0,157.84,16.209,True,250.0,24.0
3.0,20,0.1,0.15,185.62,17.808,True,258.33,24.583
3.0,20,0.1,0.3,245.23,23.499,True,266.65,25.36
3.0,20,0.1,0.45,312.78,29.177,False,275.24,25.967
3.0,20,0.1,0.6,374.45,35.392,False,287.5,26.88
3.0,20,0.5,0.0,124.74,12.993,True,210.0,20.0
3.0,20,0.5,0.15,155.76,15.241,True,219.56,20.53
3.0,20,0.5,0.3,190.81,18.096,True,227.39,21.209
3.0,20,0.5,0.45,252.31,23.16,False,235.15,21.744
3.0,20,0.5,0.6,311.78,28.708,False,241.5,22.4
3.0,20,0.9,0.0,98.5,10.135,True,170.0,16.0
3.0,20,0.9,0.15,136.61,12.584,True,176.72,16.332
3.0,20,0.9,0.3,157.47,14.36,True,182.97,16.685
3.0,20,0.9,0.45,208.45,18.927,False,191.55,17.277
3.0,20,0.9,0.6,253.13,23.306,False,195.5,17.919
3.0,40,0.1,0.0,213.33,19.017,True,310.0,27.0
3.0,40,0.1,0.15,246.3,21.003,True,320.08,27.707
3.0,40,0.1,0.3,310.14,26.61,True,330.32,28.549
3.0,40,0.1,0.45,392.26,33.289,False,342.65,29.362
3.0,40,0.1,0.6,467.41,39.795,False,356.5,30.239
3.0,40,0.5,0.0,183.52,15.812,True,270.0,23.0
3.0,40,0.5,0.15,217.55,18.716,True,281.01,23.607
3.0,40,0.5,0.3,265.82,22.216,True,290.47,24.38
3.0,40,0.5,0.45,341.99,28.299,False,300.08,25.059
3.0,40,0.5,0.6,401.14,33.139,False,310.5,25.76
3.0,40,0.9,0.0,159.65,13.138,True,230.0,19.0
3.0,40,0.9,0.15,186.81,15.359,True,238.36,19.5
3.0,40,0.9,0.3,226.59,18.324,True,247.51,20.018
3.0,40,0.9,0.45,282.68,22.684,False,257.14,20.59
3.0,40,0.9,0.6,337.74,27.448,False,264.5,21.279
3.0,60,0.1,0.0,273.93,22.857,True,370.0,30.0
3.0,60,0.1,0.15,317.21,25.758,True,383.22,30.965
3.0,60,0.1,0.3,371.76,29.248,True,399.54,31.909
3.0,60,0.1,0.45,481.95,38.336,False,410.77,32.649
3.0,60,0.1,0.6,576.75,45.608,False,425.51,33.601
3.0,60,0.5,0.0,243.24,19.152,True,330.0,26.0
3.0,60,0.5,0.15,273.96,21.521,True,340.93,26.866
3.0,60,0.5,0.3,332.22,25.599,True,356.36,27.616
3.0,60,0.5,0.45,412.79,31.771,False,367.73,28.323
3.0,60,0.5,0.6,501.2,38.544,False,379.5,29.119
3.0,60,0.9,0.0,212.85,16.02,True,290.0,22.0
3.0,60,0.9,0.15,241.64,18.39,True,299.25,22.673
3.0,60,0.9,0.3,291.12,21.873,True,310.34,23.258
3.0,60,0.9,0.45,353.12,26.134,False,323.89,24.04
3.0,60,0.9,0.6,414.16,30.426,False,333.5,24.641
3.0,80,0.1,0.0,328.38,25.37,True,430.0,33.0
3.0,80,0.1,0.15,371.36,28.167,True,444.27,34.022
3.0,80,0.1,0.3,438.32,32.925,True,460.44,35.013
3.0,80,0.1,0.45,559.91,42.176,False,477.82,36.098
3.0,80,0.1,0.6,662.14,49.347,False,494.5,36.959
3.0,80,0.5,0.0,299.69,21.788,True,390.0,29.0
3.0,80,0.5,0.15,337.78,25.045,True,403.15,29.852
3.0,80,0.5,0.3,411.11,29.969,True,418.04,30.755
3.0,80,0.5,0.45,510.27,37.62,False,431.3,31.664
