eps,size,balance,noise,disruptions,timespan,base_disruptions,base_timespan,better
3.0,80,0.5,0.45,11.62,25.756,10.53,23.415,False
3.0,80,0.5,0.6,15.68,31.665,11.79,23.82,False
3.0,80,0.1,0.0,4.78,14.879,7.35,22.2,True
3.0,80,0.1,0.15,6.91,18.166,8.61,22.605,True
3.0,80,0.1,0.3,9.16,21.054,9.87,23.01,True
3.0,80,0.1,0.45,12.69,26.298,11.13,23.415,False
3.0,80,0.1,0.6,16.35,31.498,12.39,23.82,False
3.0,100,0.9,0.0,4.23,15.142,7.15,24.6,True
3.0,100,0.9,0.15,6.56,18.421,8.68,25.065,True
3.0,100,0.9,0.3,9.22,23.121,10.21,25.53,True
3.0,100,0.9,0.45,12.83,28.513,11.74,25.995,False
3.0,100,0.9,0.6,16.97,34.214,13.27,26.46,False
3.0,100,0.5,0.0,4.54,14.376,7.75,24.6,True
3.0,100,0.5,0.15,6.72,17.973,9.28,25.065,True
3.0,100,0.5,0.3,9.65,22.8,10.81,25.53,True
3.0,100,0.5,0.45,13.65,28.226,12.34,25.995,False
3.0,100,0.5,0.6,17.79,34.397,13.87,26.46,False
3.0,100,0.1,0.0,5.44,16.743,8.35,24.6,True
3.0,100,0.1,0.15,7.76,19.534,9.88,25.065,True
3.0,100,0.1,0.3,10.65,23.834,11.41,25.53,True
3.0,100,0.1,0.45,14.56,29.448,12.94,25.995,False
3.0,100,0.1,0.6,19.67,34.892,14.47,26.46,False
